Estratégia,CAGR,Vol anual,Sharpe,Max DD,Calmar,% meses positivos,% tempo em risco,Turnover médio
base,0.11936717610461467,0.18642243590516042,0.20292021150795378,-0.2786425476326204,0.42838818808818724,0.7373737373737373,0.5957446808510638,0.2960992907801419
sma=100,0.16041784180539764,0.17802154054293315,0.40962438179522215,-0.2786425476326211,0.5757119405070258,0.7676767676767676,0.5699481865284974,0.3143350604490501
sma=150,0.11948653734734327,0.1871886595039892,0.20340982163230403,-0.27864254763262075,0.4288165549824127,0.7424242424242424,0.5894736842105263,0.2807017543859649
mom=6-1,0.05957218133783204,0.19560880477488463,-0.08296831046552099,-0.43640025862310394,0.13650812565003867,0.7171717171717171,0.6117021276595744,0.36879432624113473
mom=9-1,0.08870763498201573,0.1936324810659761,0.056677257106617154,-0.3654795595718656,0.24271572146450726,0.7575757575757576,0.6117021276595744,0.3191489361702128
top_n=2,0.09919029469821994,0.2063019425226206,0.11270841894303812,-0.3441035326956605,0.288257124014905,0.7727272727272727,0.5957446808510638,0.32180851063829785
top_n=4,0.10384583335011288,0.17308907701573337,0.12274964743235366,-0.3182608738470787,0.32629154848613223,0.7474747474747475,0.5957446808510638,0.28058510638297873
custo=0.1%,0.11183658555599219,0.1864105695864634,0.16610538431064611,-0.2867321975138585,0.39003846280844284,0.7272727272727273,0.5957446808510638,0.2960992907801419
custo=0.2%,0.1043450197398128,0.18645520216718364,0.12924666864206186,-0.2976004548522474,0.3506211702250858,0.7171717171717171,0.5957446808510638,0.2960992907801419
histerese=2%,0.11160233098343841,0.1865095001129643,0.16496023950509245,-0.33296062830063466,0.33518176474207984,0.7373737373737373,0.5904255319148937,0.2925531914893617
