Janela,Início,Fim,Ret Sentinel,Ret Momentum puro,Ret IBOV,MaxDD Sentinel,MaxDD Momentum puro,MaxDD IBOV,Saída do risco,Reentrada,Fundo IBOV,Recuperação perdida (IBOV fundo→reentrada),Drawdown evitado (p.p.)
Bear 2015-16,2014-09-01,2016-12-31,0.14236456389995333,0.2081310595837096,-0.017311708654223712,-0.2124440349474771,-0.21608960164949753,-0.39419348584722813,2014-12-30,2015-04-30,2016-01-26,0.4995599647971838,0.3645566702020431
COVID 2020,2020-01-01,2020-12-31,0.17746419082479825,0.6924926204615429,0.028819288744784233,-0.16228232317430513,-0.4713109459216467,-0.46815808848135954,2020-02-28,2020-07-31,2020-03-23,0.6188768286927797,30.902862274734154
