regime,start,end,len,whipsaw,ret_sentinel,ret_momentum,custo_vs_momentum
BULL,2010-10-29,2010-12-30,3,False,0.016994489674849955,0.016994489674849955,0.0
BEAR,2011-01-31,2011-01-31,1,True,0.0004192199999999424,0.0004192199999999424,0.0
BULL,2011-02-28,2011-03-31,2,True,0.028371468866393634,0.05392329665177087,-0.025551827785377235
BEAR,2011-04-29,2011-12-29,9,False,0.08851528748612902,0.18111787787263856,-0.09260259038650953
BULL,2012-01-31,2012-04-30,4,False,0.1476568051465672,0.15748545913531387,-0.00982865398874666
BEAR,2012-05-31,2012-11-30,7,False,0.055368652167815835,0.12227100357705578,-0.06690235140923995
BULL,2012-12-28,2013-01-31,2,True,-0.00269151816645119,-0.007190756501617046,0.004499238335165856
BEAR,2013-02-28,2013-09-30,8,False,0.0896400155362409,0.003385273619933793,0.08625474191630711
BULL,2013-10-31,2013-10-31,1,True,0.0003536699999999726,-0.0018243156346523515,0.002177985634652324
BEAR,2013-11-29,2014-02-28,4,False,0.03285370329095261,-0.06766721298204526,0.10052091627299786
BULL,2014-03-31,2014-11-28,9,False,0.21687312593336916,0.22547891851792135,-0.008605792584552185
BEAR,2014-12-30,2015-03-31,4,False,0.022343987159900713,0.037123485726020755,-0.014779498566120042
BULL,2015-04-30,2015-04-30,1,True,0.000488969999999922,0.013219513285376516,-0.012730543285376594
BEAR,2015-05-29,2015-05-29,1,True,-0.0033233696239693966,-0.0033233696239693966,0.0
BULL,2015-06-30,2015-06-30,1,True,0.0005075299999999228,0.001504137689511298,-0.0009966076895113751
BEAR,2015-07-31,2016-02-29,8,False,0.10591864260441586,-0.07190378575831768,0.17782242836273354
BULL,2016-03-31,2018-04-30,26,False,0.8036619861942242,0.7600366629556246,0.04362532323859969
BEAR,2018-05-30,2018-06-29,2,True,0.01231872895509456,0.008370817592397994,0.003947911362696566
BULL,2018-07-31,2018-07-31,1,True,0.0002458299999998914,-0.010441759032186249,0.01068758903218614
BEAR,2018-08-31,2018-09-28,2,True,-0.008139570442172506,0.06508091520721915,-0.07322048564939165
BULL,2018-10-31,2020-01-31,16,False,0.4839370190394099,0.5201005787124577,-0.03616355967304785
BEAR,2020-02-28,2020-06-30,5,False,0.020114182828058436,0.07300203182827114,-0.052887849000212706
BULL,2020-07-31,2020-08-31,2,True,0.023107346280679897,0.011809261137771587,0.01129808514290831
BEAR,2020-09-30,2020-10-30,2,True,0.0031588332412015863,0.06047861561330947,-0.057319782372107886
BULL,2020-11-30,2021-07-30,9,False,0.05134445839637802,0.045891254918459135,0.005453203477918889
BEAR,2021-08-31,2022-02-25,7,False,0.016357555542134472,0.0431131489314871,-0.026755593389352628
BULL,2022-03-31,2022-03-31,1,True,0.000437390000000093,0.007791301312264798,-0.007353911312264705
BEAR,2022-04-29,2022-04-29,1,True,-0.01112485565503174,-0.01112485565503174,0.0
BULL,2022-05-31,2022-05-31,1,True,0.0004727899999998897,0.008947173930729413,-0.008474383930729523
BEAR,2022-06-30,2022-07-29,2,True,0.017037605265348477,0.09536952972797752,-0.07833192446262904
BULL,2022-08-31,2023-01-31,6,False,-0.027917622912075557,-0.031420954410181556,0.0035033314981059993
BEAR,2023-02-28,2023-05-31,4,False,0.024855237544183284,0.07513839165299041,-0.05028315410880713
BULL,2023-06-30,2024-04-30,11,False,0.19358482781004493,0.17841436383803688,0.015170463972008053
BEAR,2024-05-31,2024-06-28,2,True,0.009755613587986822,0.06470040243736874,-0.05494478884938192
BULL,2024-07-31,2024-10-31,4,False,0.02134221646684642,0.018193300923020184,0.003148915543826236
BEAR,2024-11-29,2025-02-28,4,False,0.0372398912203884,-0.0685707456805249,0.1058106369009133
BULL,2025-03-31,2026-05-29,15,False,0.044675738484519334,0.035588882771357744,0.00908685571316159
