Estratégia,CAGR,Vol anual,Sharpe,Max DD,Calmar,% meses positivos,% tempo em risco,Turnover médio
Sentinel,0.11936717610461467,0.18642243590516042,0.20292021150795378,-0.2786425476326204,0.42838818808818724,0.7373737373737373,0.5957446808510638,0.2960992907801419
Momentum puro,0.18304360572795697,0.25315635365019035,0.43041378389107676,-0.4713109459216467,0.38837121715901574,0.6161616161616161,0.9840425531914894,0.21453900709219856
IBOV,0.0564659739572535,0.22996968620570585,-0.051347183903803974,-0.48631431859280005,0.11611003788793128,0.5404040404040404,,
CDI,0.09710137880387837,0.0020829510050621638,,0.0,,1.0,,
